MSZoning,Street,LotShape,LandContour,Utilities
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR2,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Bnk,AllPub
RL,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,IR1,Lvl,AllPub
C (all),Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
FV,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR2,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RM,Grvl,IR2,Bnk,AllPub
RL,Pave,IR1,Low,AllPub
RL,Pave,Reg,Bnk,AllPub
RL,Pave,IR1,Lvl,AllPub
FV,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR2,HLS,AllPub
RL,Pave,Reg,Bnk,AllPub
RL,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,IR1,Bnk,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR2,Lvl,AllPub
FV,Pave,Reg,Lvl,AllPub
C (all),Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,HLS,AllPub
C (all),Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR2,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,HLS,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Bnk,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
FV,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Bnk,AllPub
RL,Pave,IR1,Lvl,AllPub
FV,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Low,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,IR1,Bnk,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RM,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
FV,Pave,Reg,Lvl,AllPub
RL,Pave,IR1,HLS,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,IR1,Lvl,AllPub
RL,Pave,Reg,Lvl,AllPub
